ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes
768598,10,W,7,37,44000.0,R13.95,11.795,34.03706,-118.28927900000001,0.23,ML,5
768626,405,S,7,37,44000.0,44.87,68.642,34.237277,-118.473175,0.52,ML,4
768643,405,N,7,37,44000.0,26.84,50.611999999999995,33.998742,-118.40768500000001,0.6,ML,5
768655,5,N,7,37,44000.0,38.55,155.183,34.257090000000005,-118.435212,0.485,ML,4
768664,5,N,7,37,44000.0,38.34,154.97299999999998,34.254804,-118.43279199999999,0.355,ML,6
768682,5,N,7,37,44000.0,37.84,154.47299999999998,34.249318,-118.42706799999999,0.395,ML,6
768779,57,S,7,37,66070.0,R10.6,22.502,34.104040999999995,-117.82037,0.16,ML,4
768898,91,E,7,37,4982.0,R15.54,9.538,33.876002,-118.12673600000001,0.27,ML,5
768907,91,W,7,37,4982.0,R15.76,9.758,33.876256,-118.122877,0.34,ML,4
768968,405,S,7,37,44000.0,29.5,53.272,34.030752,-118.43330900000001,0.305,ML,4
768969,405,N,7,37,44000.0,29.5,53.272,34.030852,-118.433072,0.485,ML,4
768978,710,N,7,37,,23.707,18.714000000000002,34.022735,-118.17271699999999,0.25,ML,5
768984,710,N,7,37,44574.0,R16.5,11.54,33.924434000000005,-118.177677,0.38299999999999995,ML,5
769029,5,N,7,37,69088.0,R54.7,171.11,34.436709,-118.59446499999999,0.4,ML,5
769030,5,S,7,37,69088.0,R54.7,171.047,34.436509,-118.594682,0.4,ML,5
769042,5,N,7,37,69088.0,R55,171.41,34.439617999999996,-118.59833400000001,0.3,ML,4
769043,5,S,7,37,69088.0,R55,171.347,34.439432000000004,-118.598526,0.3,ML,4
769054,5,N,7,37,69088.0,R55.3,171.71,34.441909,-118.602777,0.88,ML,4
769055,5,S,7,37,69088.0,R55.3,171.64700000000002,34.441758,-118.60293899999999,0.735,ML,4
769061,57,N,7,37,19192.0,R1.82,13.637,33.966883,-117.84993,0.47,ML,4
769068,57,N,7,37,19192.0,R3.046,14.863,33.982608,-117.84211200000001,0.395,ML,4
769090,5,S,7,37,69088.0,R51.4,167.747,34.393516999999996,-118.571234,0.55,ML,4
769091,5,N,7,37,69088.0,R51.4,167.81,34.393574,-118.57086399999999,1.48,ML,4
769097,10,W,7,37,44000.0,15.781,13.626,34.031279999999995,-118.259869,0.8540000000000001,ML,4
769105,10,W,7,37,44000.0,16.21,14.055,34.028251000000004,-118.253349,0.894,ML,5
769118,10,W,7,37,44000.0,17.57,15.415,34.027652,-118.232238,1.182,ML,5
769136,210,W,7,37,,R46.46,46.748999999999995,34.120043,-117.789799,0.67,ML,3
769150,210,W,7,37,40830.0,R46.65,46.93899999999999,34.120189,-117.78649899999999,0.52,ML,3
769195,405,S,7,37,,13.31,37.082,33.859140000000004,-118.28991200000002,0.315,ML,4
769228,405,N,7,37,36546.0,22.34,46.111999999999995,33.946811,-118.368252,0.657,ML,4
769248,405,S,7,37,,13.18,36.952,33.858342,-118.28786699999999,0.355,ML,3
769279,71,N,7,37,58072.0,2.73,2.9339999999999997,34.043603999999995,-117.77067199999999,0.69,ML,3
769345,101,S,7,37,44000.0,13.5,14.817,34.156606,-118.40703799999999,0.525,ML,5
769346,101,N,7,37,44000.0,13.5,14.876,34.156793,-118.40701399999999,0.54,ML,5
769358,101,N,7,37,44000.0,14.4,15.776,34.156683,-118.422679,0.51,ML,5
769359,101,S,7,37,44000.0,14.4,15.717,34.1565,-118.422723,0.45,ML,5
